,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
345,50,Zeewolde,8,22656.0,35.3
346,355,Zeist,44,64932.0,67.8
347,299,Zevenaar,20,43740.0,45.7
348,637,Zoetermeer,26,125283.0,20.8
349,638,Zoeterwoude,3,8611.0,34.8
350,1892,Zuidplas,16,43894.0,36.5
351,879,Zundert,24,21821.0,110.0
352,301,Zutphen,15,47942.0,31.3
353,1896,Zwartewaterland,43,22690.0,189.5
354,642,Zwijndrecht,15,44741.0,33.5
355,193,Zwolle,79,128831.0,61.3
