,Gemeente,28/03/2020,27/03/2020,26/03/2020,25/03/2020,24/03/2020,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020
71,De Wolden,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Delft,29.0,27.0,25.0,21.0,17.0,16.0,12.0,11.0,9.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
73,Delfzijl,7.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Den Helder,9.0,9.0,6.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
75,Deurne,46.0,42.0,35.0,30.0,25.0,22.0,22.0,19.0,13.0,10.0,8.0,8.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
76,Deventer,45.0,33.0,30.0,26.0,20.0,17.0,16.0,16.0,7.0,5.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Diemen,7.0,7.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
78,Dinkelland,30.0,28.0,25.0,20.0,17.0,15.0,14.0,13.0,9.0,8.0,6.0,5.0,5.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0
79,Doesburg,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Doetinchem,18.0,17.0,17.0,10.0,8.0,6.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Dongen,12.0,10.0,6.0,6.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0
82,Dordrecht,36.0,32.0,28.0,26.0,23.0,17.0,13.0,12.0,11.0,8.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
83,Drechterland,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Drimmelen,26.0,24.0,21.0,20.0,17.0,16.0,14.0,14.0,13.0,13.0,12.0,11.0,7.0,5.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0
85,Dronten,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,9.0,8.0,7.0,7.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
86,Druten,13.0,11.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
87,Duiven,6.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
